,vars,n,vars_labelled,n_labelled,prop,prop_labelled,difference
1,Acts,5790,Acts,178,5.24,4.40,-0.84
2,Amos,172,Amos,13,0.16,0.32,0.17
3,Chronicles,865,Chronicles,57,0.78,1.41,0.63
4,Colossians,1599,Colossians,48,1.45,1.19,-0.26
5,Corinthians,5436,Corinthians,249,4.92,6.15,1.23
6,Daniel,842,Daniel,40,0.76,0.99,0.23
7,Deuteronomy,860,Deuteronomy,50,0.78,1.24,0.46
8,Ecclesiastes,674,Ecclesiastes,19,0.61,0.47,-0.14
9,Ephesians,4265,Ephesians,158,3.86,3.91,0.04
10,Esther,254,Esther,8,0.23,0.20,-0.03
11,Exodus,2283,Exodus,84,2.07,2.08,0.01
12,Ezekiel,540,Ezekiel,27,0.49,0.67,0.18
13,Ezra,148,Ezra,9,0.13,0.22,0.09
14,Galatians,1891,Galatians,91,1.71,2.25,0.54
15,Genesis,4131,Genesis,214,3.74,5.29,1.55
16,Habakkuk,223,Habakkuk,10,0.20,0.25,0.05
17,Haggai,154,Haggai,4,0.14,0.10,-0.04
18,Hebrews,3185,Hebrews,78,2.88,1.93,-0.96
19,Hosea,289,Hosea,9,0.26,0.22,-0.04
20,Isaiah,2530,Isaiah,71,2.29,1.75,-0.54
21,James,2405,James,76,2.18,1.88,-0.30
22,Jeremiah,1014,Jeremiah,47,0.92,1.16,0.24
23,Job,630,Job,20,0.57,0.49,-0.08
24,Joel,148,Joel,7,0.13,0.17,0.04
25,John,10606,John,276,9.60,6.82,-2.78
26,Jonah,524,Jonah,24,0.47,0.59,0.12
27,Joshua,1191,Joshua,31,1.08,0.77,-0.31
28,Jude,251,Jude,33,0.23,0.82,0.59
29,Judges,672,Judges,28,0.61,0.69,0.08
30,Kings,1524,Kings,51,1.38,1.26,-0.12
31,Lamentations,110,Lamentations,4,0.10,0.10,0.00
32,Leviticus,264,Leviticus,17,0.24,0.42,0.18
33,Luke,9068,Luke,227,8.21,5.61,-2.60
34,Malachi,476,Malachi,23,0.43,0.57,0.14
35,Mark,4210,Mark,115,3.81,2.84,-0.97
36,Matthew,12085,Matthew,392,10.94,9.69,-1.26
37,Micah,154,Micah,3,0.14,0.07,-0.07
38,Nahum,32,Nahum,2,0.03,0.05,0.02
39,Nehemiah,835,Nehemiah,30,0.76,0.74,-0.01
40,Numbers,529,Numbers,7,0.48,0.17,-0.31
41,Peter,2464,Peter,111,2.23,2.74,0.51
42,Philemon,97,Philemon,3,0.09,0.07,-0.01
43,Philippians,2620,Philippians,60,2.37,1.48,-0.89
44,Proverbs,1856,Proverbs,98,1.68,2.42,0.74
45,Revelation,2833,Revelation,122,2.57,3.02,0.45
46,Romans,5273,Romans,296,4.78,7.32,2.54
47,Ruth,312,Ruth,7,0.28,0.17,-0.11
48,Salms,5477,Salms,152,4.96,3.76,-1.20
49,Samuel,2120,Samuel,62,1.92,1.53,-0.39
50,Song of solomon,136,Song of solomon,4,0.12,0.10,-0.02
51,Thessalonians,1317,Thessalonians,63,1.19,1.56,0.36
52,Timothy,2374,Timothy,160,2.15,3.95,1.80
53,Titus,408,Titus,29,0.37,0.72,0.35
54,Zechariah,206,Zechariah,7,0.19,0.17,-0.01
55,NA,71,NA,42,0.06,1.04,0.97
