,vars,n,Hello_two,Freq,propotion_homo,proportion_whole,Proportion_difference
1,*Other,104,*Other,3001,2.589641434,2.718075519,-0.128434085
2,Adventist,3,Adventist,199,0.074701195,0.18023893,-0.105537735
3,Anglican,3,Anglican,294,0.074701195,0.26628264,-0.191581445
4,Apostolic,41,Apostolic,399,1.020916335,0.361383583,0.659532752
5,Assembly of God,139,Assembly of God,4711,3.461155378,4.266862303,-0.805706924
6,Baptist,1364,Baptist,37766,33.96414343,34.20554484,-0.241401412
7,Bible Church,48,Bible Church,787,1.195219124,0.71280421,0.482414914
8,Brethren,4,Brethren,149,0.099601594,0.134952767,-0.035351173
9,Calvary Chapel,18,Calvary Chapel,856,0.448207171,0.775299115,-0.327091944
10,Charismatic,16,Charismatic,799,0.398406375,0.723672889,-0.325266514
11,Christian Church,49,Christian Church,1441,1.220119522,1.305147225,-0.085027703
12,Christian Missionary Alliance,15,Christian Missionary Alliance,631,0.373505976,0.57151138,-0.198005404
13,Christian/Church of Christ,559,Christian/Church of Christ,11625,13.91932271,10.52903296,3.39028975
14,Church of God,56,Church of God,2934,1.394422311,2.65739206,-1.26296975
15,Congregational,11,Congregational,615,0.273904382,0.557019808,-0.283115426
16,Disciples of Christ,1,Disciples of Christ,65,0.024900398,0.058872012,-0.033971614
17,Episcopal/Anglican,12,Episcopal/Anglican,261,0.298804781,0.236393772,0.062411009
18,Evangelical,528,Evangelical,13493,13.14741036,12.22092402,0.92648634
19,Foursquare,10,Foursquare,256,0.249003984,0.231865156,0.017138828
20,Free Methodist,19,Free Methodist,623,0.47310757,0.564265594,-0.091158025
21,Friends,2,Friends,128,0.049800797,0.115932578,-0.066131781
22,Holiness,63,Holiness,1410,1.5687251,1.277069804,0.291655296
23,Independent Bible,115,Independent Bible,3180,2.863545817,2.880199984,-0.016654167
24,Lutheran,139,Lutheran,3844,3.461155378,3.481600232,-0.020444853
25,Mennonite,7,Mennonite,214,0.174302789,0.193824779,-0.01952199
26,Methodist,109,Methodist,3599,2.714143426,3.259698032,-0.545554606
27,Nazarene,66,Nazarene,1806,1.643426295,1.635736217,0.007690078
28,Orthodox,23,Orthodox,520,0.572709163,0.470976098,0.101733065
29,Pentecostal,249,Pentecostal,6767,6.200199203,6.129029336,0.071169867
30,Presbyterian/Reformed,104,Presbyterian/Reformed,3503,2.589641434,3.172748598,-0.583107164
31,Salvation Army,10,Salvation Army,207,0.249003984,0.187484716,0.061519268
32,Seventh-day Adventist,9,Seventh-day Adventist,242,0.224103586,0.21918503,0.004918555
33,United Methodist,45,United Methodist,2172,1.120517928,1.967230932,-0.846713004
34,Vineyard,8,Vineyard,82,0.199203187,0.074269308,0.124933879
35,Wesleyan,67,Wesleyan,1830,1.668326693,1.657473576,0.010853118
,,,,,,,
